x_mm,y_mm,z_mm,edep_keV
-0.377614,3.64543,-0.506304,0.754041
-0.377639,3.64545,-0.506279,0.0108515
-0.377661,3.64545,-0.506251,0.240371
-0.377682,3.64546,-0.506221,0.708508
-0.377703,3.64546,-0.506191,0.135069
-0.377732,3.64547,-0.506182,0.210788
-0.377753,3.64547,-0.506164,0.685401
-0.377746,3.64547,-0.506152,0.641224
-0.377759,3.64545,-0.506152,1.77602
-0.377769,3.64542,-0.506153,0.680279
-0.377774,3.64541,-0.506155,6.78965
-0.701652,0.273947,1.82997,11.684
-0.644887,0.262567,1.79828,0.418181
-0.64491,0.262566,1.79824,12.8978
-3.36829,-3.2623,2.61955,9.884
-3.36067,-3.2623,2.61955,0.155652
-3.36065,-3.26232,2.61955,14.9603
-2.26234,0.8673,-0.620067,2.197
-2.22407,0.8673,-0.620067,0.17272
-2.22402,0.867291,-0.620126,22.6303
-3.03033,1.88348,3.71964,11.139
-3.02138,1.88101,3.71849,0.20541
-3.02137,1.88098,3.71846,13.6556
0.035064,-0.285686,7.86616,11.139
0.0433594,-0.285686,7.86616,0.606691
0.0433979,-0.285661,7.86615,13.2543
-3.55021,-0.843028,1.17545,9.884
-3.54733,-0.843028,1.17545,0.29518
-3.54729,-0.84305,1.17546,14.8208
-1.21309,0.777189,3.32491,2.712
-1.21088,0.777189,3.32491,0.616959
-1.21081,0.777145,3.32495,21.671
-2.20301,1.22893,2.21978,9.884
-2.19607,1.22893,2.21978,0.496863
-2.19611,1.22893,2.21975,14.6191
-0.181048,0.0777278,6.76379,0.469
-0.160358,0.0777278,6.76379,0.844473
-0.160288,0.0776706,6.76374,23.6865
-4.86412,2.29817,-8.52695,2.472
-4.85539,2.29817,-8.52695,0.146358
-4.85533,2.29811,-8.52691,22.3816
-1.27854,0.924151,3.60637,11.684
-1.25414,0.924151,3.60637,0.289225
-1.25412,0.924178,3.60638,13.0268
-1.14,-0.0679247,-1.35481,11.139
-1.13832,-0.0679247,-1.35481,0.173313
-1.13829,-0.0679497,-1.35484,13.6877
-3.66714,2.55203,2.57469,9.884
-3.64957,2.55203,2.57469,0.212433
-3.64957,2.552,2.5747,14.9036
-2.14971,1.01783,1.93104,11.139
-2.14152,1.01783,1.93104,0.531295
-2.14154,1.0178,1.93102,13.3297
-2.4185,1.32752,-2.5296,2.472
-2.41077,1.32752,-2.5296,1.15469
-2.41075,1.32751,-2.52969,21.3733
-1.09406,0.390998,1.14812,11.139
-1.07566,0.390998,1.14812,0.62165
-1.07563,0.391021,1.14812,13.2394
-3.7742,1.44079,-0.26245,2.472
-3.76277,1.44079,-0.26245,0.688141
-3.76269,1.44081,-0.262404,21.8399
-2.88021,2.86202,3.60496,0.469
-2.87694,2.86202,3.60496,0.351033
-2.87687,2.86209,3.60497,0.566232
-2.87677,2.86213,3.60498,0.746193
-2.87678,2.86221,3.60496,0.46479
-2.87686,2.86225,3.60493,1.87979
-2.8769,2.86218,3.60492,20.523
-0.71531,0.309903,4.14641,9.884
-0.674728,0.309903,4.14641,0.286201
-0.674687,0.309911,4.14638,14.8298
-2.88867,0.47079,-7.83984,9.884
-2.88856,0.47079,-7.83984,0.125854
-2.88856,0.47084,-7.83985,0.870354
-2.88856,0.470865,-7.83989,0.104855
-2.8886,0.470848,-7.83991,0.134085
